Parameters:
================================================================================================================================
Name                                                                    Shape                           Type            Grad
blocks.6.cross_attn.to_kv.bias                                          torch.Size([3072])              torch.float32   True
blocks.6.cross_attn.q_rms_norm.gamma                                    torch.Size([12, 128])           torch.float32   True
blocks.6.cross_attn.k_rms_norm.gamma                                    torch.Size([12, 128])           torch.float32   True
blocks.6.cross_attn.to_out.weight                                       torch.Size([1536, 1536])        torch.float32   True
blocks.6.cross_attn.to_out.bias                                         torch.Size([1536])              torch.float32   True
blocks.6.mlp.mlp.0.weight                                               torch.Size([8192, 1536])        torch.float32   True
blocks.6.mlp.mlp.0.bias                                                 torch.Size([8192])              torch.float32   True
blocks.6.mlp.mlp.2.weight                                               torch.Size([1536, 8192])        torch.float32   True
blocks.6.mlp.mlp.2.bias                                                 torch.Size([1536])              torch.float32   True
blocks.7.modulation                                                     torch.Size([9216])              torch.float32   True
blocks.7.norm2.weight                                                   torch.Size([1536])              torch.float32   True
blocks.7.norm2.bias                                                     torch.Size([1536])              torch.float32   True
blocks.7.self_attn.to_qkv.weight                                        torch.Size([4608, 1536])        torch.float32   True
blocks.7.self_attn.to_qkv.bias                                          torch.Size([4608])              torch.float32   True
blocks.7.self_attn.q_rms_norm.gamma                                     torch.Size([12, 128])           torch.float32   True
blocks.7.self_attn.k_rms_norm.gamma                                     torch.Size([12, 128])           torch.float32   True
blocks.7.self_attn.to_out.weight                                        torch.Size([1536, 1536])        torch.float32   True
blocks.7.self_attn.to_out.bias                                          torch.Size([1536])              torch.float32   True
blocks.7.cross_attn.to_q.weight                                         torch.Size([1536, 1536])        torch.float32   True
blocks.7.cross_attn.to_q.bias                                           torch.Size([1536])              torch.float32   True
blocks.7.cross_attn.to_kv.weight                                        torch.Size([3072, 1024])        torch.float32   True
blocks.7.cross_attn.to_kv.bias                                          torch.Size([3072])              torch.float32   True
blocks.7.cross_attn.q_rms_norm.gamma                                    torch.Size([12, 128])           torch.float32   True
blocks.7.cross_attn.k_rms_norm.gamma                                    torch.Size([12, 128])           torch.float32   True
blocks.7.cross_attn.to_out.weight                                       torch.Size([1536, 1536])        torch.float32   True
blocks.7.cross_attn.to_out.bias                                         torch.Size([1536])              torch.float32   True
blocks.7.mlp.mlp.0.weight                                               torch.Size([8192, 1536])        torch.float32   True
blocks.7.mlp.mlp.0.bias                                                 torch.Size([8192])              torch.float32   True
blocks.7.mlp.mlp.2.weight                                               torch.Size([1536, 8192])        torch.float32   True
blocks.7.mlp.mlp.2.bias                                                 torch.Size([1536])              torch.float32   True
blocks.8.modulation                                                     torch.Size([9216])              torch.float32   True
blocks.8.norm2.weight                                                   torch.Size([1536])              torch.float32   True
blocks.8.norm2.bias                                                     torch.Size([1536])              torch.float32   True
blocks.8.self_attn.to_qkv.weight                                        torch.Size([4608, 1536])        torch.float32   True
blocks.8.self_attn.to_qkv.bias                                          torch.Size([4608])              torch.float32   True
blocks.8.self_attn.q_rms_norm.gamma                                     torch.Size([12, 128])           torch.float32   True
blocks.8.self_attn.k_rms_norm.gamma                                     torch.Size([12, 128])           torch.float32   True
blocks.8.self_attn.to_out.weight                                        torch.Size([1536, 1536])        torch.float32   True
blocks.8.self_attn.to_out.bias                                          torch.Size([1536])              torch.float32   True
blocks.8.cross_attn.to_q.weight                                         torch.Size([1536, 1536])        torch.float32   True
blocks.8.cross_attn.to_q.bias                                           torch.Size([1536])              torch.float32   True
blocks.8.cross_attn.to_kv.weight                                        torch.Size([3072, 1024])        torch.float32   True
blocks.8.cross_attn.to_kv.bias                                          torch.Size([3072])              torch.float32   True
blocks.8.cross_attn.q_rms_norm.gamma                                    torch.Size([12, 128])           torch.float32   True
blocks.8.cross_attn.k_rms_norm.gamma                                    torch.Size([12, 128])           torch.float32   True
blocks.8.cross_attn.to_out.weight                                       torch.Size([1536, 1536])        torch.float32   True
blocks.8.cross_attn.to_out.bias                                         torch.Size([1536])              torch.float32   True
blocks.8.mlp.mlp.0.weight                                               torch.Size([8192, 1536])        torch.float32   True
blocks.8.mlp.mlp.0.bias                                                 torch.Size([8192])              torch.float32   True
blocks.8.mlp.mlp.2.weight                                               torch.Size([1536, 8192])        torch.float32   True
blocks.8.mlp.mlp.2.bias                                                 torch.Size([1536])              torch.float32   True
blocks.9.modulation                                                     torch.Size([9216])              torch.float32   True
blocks.9.norm2.weight                                                   torch.Size([1536])              torch.float32   True
blocks.9.norm2.bias                                                     torch.Size([1536])              torch.float32   True
